State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Tredyffrin Township,"29,720",463,464,               -,1,10,20,48,365,19,1,,,,,,,
,Uniontown,"11,533",476,480,1,6,19,41,54,296,59,4,,,,,,,
,Upper Allen Township,"15,557",156,156,               -,             -,2,2,23,123,6,           -,,,,,,,
,Upper Chichester Township,"17,005",639,646,               -,3,29,28,60,433,86,7,,,,,,,
,Upper Darby Township,"78,870","1,752","1,756",4,11,95,64,136,"1,227",215,4,,,,,,,
,Upper Dublin Township,"26,211",353,354,               -,1,4,13,45,265,25,1,,,,,,,
,Upper Gwynedd Township,"14,147",217,217,               -,             -,5,6,47,149,10,           -,,,,,,,
,Upper Merion Township,"27,456","1,927","1,934",               -,             -,15,20,60,"1,672",160,7,,,,,,,
,Upper Providence Township (Delaware County),"10,376",68,69,               -,             -,              -,9,10,47,2,1,,,,,,,
,Upper Providence Township (Montgomery County),"13,945",207,207,               -,1,              -,3,17,169,17,           -,,,,,,,
,Upper Saucon Township,"11,239",122,123,               -,1,              -,8,21,90,2,1,,,,,,,
,Upper Southampton Township,"16,811",138,138,               -,             -,              -,16,42,67,13,           -,,,,,,,
,Upper St. Clair Township,"19,231",113,113,               -,             -,              -,                   -,5,100,8,           -,,,,,,,
,Uwchlan Township,"16,229",331,331,               -,1,2,23,47,247,11,           -,,,,,,,
,Warminster Township,"33,787",753,760,               -,8,27,30,89,562,37,7,,,,,,,
,Warren,"10,419",216,220,               -,             -,2,4,35,160,15,4,,,,,,,
,Warrington Township,"15,871",209,212,               -,2,4,10,28,148,17,3,,,,,,,
,Warwick Township (Bucks County),"11,136",139,143,               -,2,              -,4,19,106,8,4,,,,,,,
,Warwick Township (Lancaster County),"15,127",68,69,               -,             -,              -,1,11,54,2,1,,,,,,,
,Washington (Washington County),"15,079",693,701,               -,16,32,36,72,495,42,8,,,,,,,
,Washington Township (Franklin County),"12,079",225,228,               -,6,4,13,28,167,7,3,,,,,,,
,West Chester,"18,285",847,847,               -,17,30,73,117,534,76,           -,,,,,,,
,West Deer Township,"11,868",158,158,               -,3,              -,22,37,94,2,           -,,,,,,,
,West Goshen Township,"20,471",601,606,               -,4,12,50,38,461,36,5,,,,,,,
,West Hempfield Township,"15,520",305,305,               -,1,8,10,43,218,25,           -,,,,,,,
,West Lampeter Township,"12,166",163,166,               -,             -,3,7,18,123,12,3,,,,,,,
,West Manchester Township,"17,200",852,859,               -,             -,11,16,58,742,25,7,,,,,,,
,West Mifflin,"22,551",402,403,1,3,8,24,28,294,44,1,,,,,,,
,West Norriton Township,"15,959",399,400,1,5,6,43,44,266,34,1,,,,,,,
,Westtown Township,"14,580",511,511,               -,1,3,41,67,375,24,           -,,,,,,,
,West Whiteland Township,"16,934",609,610,               -,1,5,7,43,531,22,1,,,,,,,
,Whitehall,"13,864",84,85,               -,1,4,10,7,52,10,1,,,,,,,
,Whitehall Township,"24,667","1,177","1,189",               -,1,20,31,131,931,63,12,,,,,,,
,Whitemarsh Township,"15,319",399,404,               -,             -,1,5,42,315,36,5,,,,,,,
,Whitpain Township,"18,538",364,365,1,3,2,46,37,261,14,1,,,,,,,
,Wilkinsburg,"19,184",892,903,4,10,70,80,239,299,190,11,,,,,,,
,Willistown Township,"10,780",128,130,               -,             -,1,17,19,84,7,2,,,,,,,
,Yeadon,"11,615",480,487,2,10,31,37,59,279,62,7,,,,,,,
,York Area Regional,"45,191",715,720,1,9,8,20,111,533,33,5,,,,,,,
RHODE ISLAND,Barrington,"16,621",314,325,               -,6,              -,5,56,233,14,11,,,,,,,
,Bristol,"23,334",424,433,               -,6,1,18,68,315,16,9,,,,,,,
,Burrillville,"16,925",249,254,               -,8,              -,12,45,172,12,5,,,,,,,
,Central Falls,"17,341",810,821,1,15,41,74,200,351,128,11,,,,,,,
,Coventry,"34,834",588,599,               -,7,2,29,98,429,23,11,,,,,,,
,Cranston,"79,362","2,218","2,229",1,38,31,72,416,"1,423",237,11,,,,,,,
,Cumberland,"31,800",589,598,               -,10,1,21,83,465,9,9,,,,,,,
,East Greenwich,"13,047",202,203,               -,             -,              -,6,39,147,10,1,,,,,,,
,East Providence,"50,611","1,010","1,018",               -,28,15,69,196,576,126,8,,,,,,,
,Johnston,"28,131","1,060","1,067",2,4,21,40,169,743,81,7,,,,,,,
,Lincoln,"20,121",447,450,               -,             -,10,8,73,307,49,3,,,,,,,
,Middletown,"20,198",433,436,               -,4,8,17,59,331,14,3,,,,,,,
,Narragansett,"16,941",462,464,               -,2,6,25,87,329,13,2,,,,,,,
,Newport,"25,638","1,583","1,619",2,19,29,102,348,"1,003",80,36,,,,,,,
,North Kingstown,"28,164",569,578,               -,3,              -,16,126,402,22,9,,,,,,,
,North Providence,"32,963",575,582,1,6,9,44,112,310,93,7,,,,,,,
,North Smithfield,"10,624",224,226,               -,4,2,6,31,174,7,2,,,,,,,
,Pawtucket,"71,589","2,943","3,009",               -,45,91,239,514,"1,634",420,66,,,,,,,
,Portsmouth,"17,879",285,290,               -,9,4,16,55,190,11,5,,,,,,,
,Providence,"158,585","12,840","13,205",30,82,552,506,"2,289","6,617","2,764",365,,,,,,,
,Scituate,"10,710",98,98,               -,             -,              -,5,40,50,3,           -,,,,,,,
,Smithfield,"20,253",283,294,               -,5,              -,5,34,233,6,11,,,,,,,
,South Kingstown,"28,866",588,593,2,5,12,23,140,371,35,5,,,,,,,
,Tiverton,"15,159",292,294,               -,             -,1,10,52,222,7,2,,,,,,,
,Warren,"11,997",273,282,               -,10,              -,18,38,199,8,9,,,,,,,
,Warwick,"88,867","2,787","2,821",               -,12,31,126,388,"1,985",245,34,,,,,,,
,Westerly,"24,652",378,378,1,5,1,10,103,253,5,           -,,,,,,,
,West Warwick,"30,420",697,713,               -,9,18,42,93,495,40,16,,,,,,,
,Woonsocket,"43,812","1,218","1,230",3,33,23,95,298,645,121,12,,,,,,,
SOUTH CAROLINA,Clemson,"12,936",475,476,1,5,5,31,69,345,19,1 ,,,,,,,
,Columbia,"112,539","9,967","10,014",12,40,493,955,"1,209","6,508",750,47 ,,,,,,,
,Florence,"31,030","4,231","4,264",1,12,94,498,576,"2,852",198,33 ,,,,,,,
,Gaffney,"14,109",376,377,1,7,16,78,74,189,11,1 ,,,,,,,
,Greenville,"58,721","5,519","5,529",7,53,230,555,808,"3,563",303,10 ,,,,,,,
,Greenwood,"19,904","2,107","2,113",               -,11,58,505,320,"1,146",67,6 ,,,,,,,
,Hanahan,"13,798",610,611,               -,6,8,28,101,395,72,1 ,,,,,,,
,Mauldin,"15,396",496,500,               -,             -,4,89,51,325,27,4 ,,,,,,,
,Simpsonville,"12,296",427,427,               -,1,7,24,54,320,21,           -,,,,,,,
,Spartanburg,"42,027","4,974","5,001",9,21,162,772,689,"3,003",318,27 ,,,,,,,
SOUTH DAKOTA,Aberdeen,"25,760",535,542,               -,15,1,19,89,391,20,7,,,,,,,
,Brookings,"17,798",397,397,1,3,              -,9,51,318,15,           -,,,,,,,
,Huron,"12,090",415,417,               -,2,1,7,59,328,18,2,,,,,,,
,Mitchell,"14,653",547,559,               -,5,              -,11,96,416,19,12,,,,,,,
,Pierre,"13,753",489,493,               -,6,2,16,62,390,13,4,,,,,,,
,Rapid City,"59,994","2,827","2,837",1,41,40,137,431,"2,031",146,10,,,,,,,
,Sioux Falls,"120,177","4,287","4,319",2,81,55,263,603,"3,049",234,32,,,,,,,
,Vermillion,"10,364",316,317,               -,6,              -,10,29,261,10,1,,,,,,,
,Watertown,"20,657",756,762,               -,6,2,25,98,595,30,6,,,,,,,
,Yankton,"14,496",447,447,               -,12,1,15,54,340,25,           -,,,,,,,
TENNESSEE,Alcoa,"10,534",771,771,               -,2,17,67,97,532,56,           -,,,,,,,
,Athens,"14,472","1,120","1,128",               -,6,13,81,179,806,35,8 ,,,,,,,
,Bartlett,"38,510",999,"1,003",               -,1,9,55,193,708,33,4 ,,,,,,,
,Brentwood,"25,065",657,659,               -,1,3,7,52,569,25,2 ,,,,,,,
,Bristol,"25,486","1,058","1,065",1,11,9,105,146,744,42,7 ,,,,,,,
,Brownsville,"10,747",899,903,3,3,17,222,197,411,46,4 ,,,,,,,
,Chattanooga,"152,630","17,984","18,086",17,109,770,"1,838","3,271","9,649","2,330",102 ,,,,,,,
,Clarksville,"102,765","4,968","4,996",3,62,110,423,782,"3,307",281,28 ,,,,,,,
,Cleveland,"37,494","1,932","1,933",3,19,34,140,282,"1,336",118,1 ,,,,,,,
,Clinton,"10,121",495,495,               -,2,3,34,66,353,37,           -,,,,,,,
,Collierville,"26,591",501,503,               -,3,11,31,47,377,32,2 ,,,,,,,
,Columbia,"33,520","2,343","2,352",7,10,76,318,384,"1,451",97,9 ,,,,,,,
,Cookeville,"27,049","1,422","1,430",               -,7,20,107,166,"1,025",97,8 ,,,,,,,
,Crossville,"10,755",888,890,1,3,4,34,165,630,51,2 ,,,,,,,
,Dickson,"13,035",716,720,               -,7,6,49,57,548,49,4 ,,,,,,,
,East Ridge,"20,451","1,396","1,398",1,10,20,61,322,862,120,2 ,,,,,,,
,Elizabethton,"14,063",927,929,               -,4,9,50,129,688,47,2 ,,,,,,,
,Gallatin,"22,955","1,552","1,556",1,12,27,177,161,"1,108",66,4 ,,,,,,,
,Germantown,"39,199","1,070","1,073",               -,6,17,34,125,847,41,3 ,,,,,,,
,Goodlettsville,"13,471","1,545","1,547",               -,5,32,115,104,"1,182",107,2 ,,,,,,,
,Greeneville,"16,244",884,891,               -,5,14,67,90,644,64,7 ,,,,,,,
,Hendersonville,"41,219","1,114","1,122",               -,5,6,98,160,780,65,8 ,,,,,,,
,Humboldt,"10,083",809,815,1,4,22,114,198,419,51,6 ,,,,,,,
,Jackson,"56,063","4,697","4,714",6,36,163,658,924,"2,472",438,17 ,,,,,,,
,Johnson City,"61,380","3,768","3,788",2,28,61,270,479,"2,755",173,20 ,,,,,,,
,Kingsport,"44,374","2,469","2,480",               -,23,35,267,321,"1,720",103,11 ,,,,,,,
,Knoxville,"181,421","10,736","10,856",23,79,577,"1,170","1,571","5,919","1,397",120 ,,,,,,,
,La Vergne,"16,742",730,738,1,8,4,81,156,428,52,8 ,,,,,,,
,Lawrenceburg,"11,971",889,892,1,10,5,111,146,592,24,3 ,,,,,,,
,Lebanon,"20,523","1,844","1,846",1,10,43,197,281,"1,202",110,2 ,,,,,,,
,Lewisburg,"11,762",492,492,1,4,11,54,122,278,22,           -,,,,,,,
,Manchester,"10,259",474,476,               -,5,6,6,87,351,19,2 ,,,,,,,
,Martin,"10,373",376,379,               -,3,4,25,41,281,22,3 ,,,,,,,
,Maryville,"25,840",666,671,               -,7,15,38,118,462,26,5 ,,,,,,,
,McMinnville,"13,959",803,805,               -,13,6,45,145,535,59,2 ,,,,,,,
,Memphis,"628,851","59,561","60,065",146,574,"4,086","4,804","14,936","26,320","8,695",504 ,,,,,,,
,Millington,"20,004",664,668,               -,4,14,61,103,440,42,4 ,,,,,,,
,Morristown,"24,173","1,780","1,792",               -,11,29,159,206,"1,209",166,12 ,,,,,,,
,Mount Juliet,"12,510",430,431,1,5,2,37,89,281,15,1 ,,,,,,,
,Murfreesboro,"63,472","3,840","3,845",               -,25,62,345,421,"2,774",213,5 ,,,,,,,
,Nashville,"533,484","48,590","48,785",72,395,"2,201","6,233","7,634","26,732","5,323",195 ,,,,,,,
,Oak Ridge,"27,793","1,585","1,592",1,8,31,76,205,"1,200",64,7 ,,,,,,,
,Paris,"12,072",595,597,1,3,8,52,125,393,13,2 ,,,,,,,
,Red Bank,"11,802",592,595,               -,8,6,66,141,333,38,3 ,,,,,,,
,Shelbyville,"17,641",779,782,1,11,21,97,137,468,44,3 ,,,,,,,
,Smyrna,"26,106","1,345","1,350",3,8,16,80,141,"1,018",79,5 ,,,,,,,
,Soddy-Daisy,"11,398",418,421,               -,1,1,29,94,269,24,3 ,,,,,,,
,Springfield,"14,714","1,288","1,290",1,8,35,155,167,858,64,2 ,,,,,,,
,Tullahoma,"20,558",924,927,2,5,8,21,177,646,65,3 ,,,,,,,
,Union City,"10,800",764,765,1,3,13,48,116,551,32,1 ,,,,,,,
TEXAS,Abilene,"113,387","4,797","4,813",1,43,105,255,960,"3,203",230,16,,,,,,,
,Addison,"12,816",948,950,2,5,21,23,122,697,78,2,,,,,,,
,Alamo,"13,108","1,091","1,092",               -,             -,15,30,176,827,43,1,,,,,,,
,Alice,"21,672","1,364","1,381",1,5,7,100,278,915,58,17,,,,,,,
,Allen,"43,770","1,139","1,145",1,7,8,47,280,774,22,6,,,,,,,
,Alvin,"21,379",890,898,               -,4,20,46,141,610,69,8,,,,,,,
,Amarillo,"178,888","13,728","13,786",11,97,253,"1,073","2,130","9,343",821,58,,,,,,,
,Andrews,"10,592",332,333,               -,             -,2,9,49,259,13,1,,,,,,,
,Angleton,"20,201",539,541,1,16,5,41,91,338,47,2,,,,,,,
,Arlington,"324,533","21,480","21,535",14,96,595,"1,452","3,141","14,106","2,076",55,,,,,,,
,Athens,"12,206",769,773,1,5,25,73,169,468,28,4,,,,,,,
,Austin,"611,561","38,674","38,816",30,349,"1,004","1,680","6,412","26,494","2,705",142,,,,,,,
,Azle,"11,059",345,345,               -,2,2,24,41,261,15,           -,,,,,,,
,Balch Springs,"19,093","1,051","1,058",1,14,33,70,224,613,96,7,,,,,,,
,Bay City,"19,657","1,418","1,420",3,2,25,77,293,968,50,2,,,,,,,
,Baytown,"72,392","3,255","3,271",3,30,75,131,578,"2,229",209,16,,,,,,,
,Beaumont,"114,117","8,243","8,310",12,137,400,524,"1,551","5,025",594,67,,,,,,,
,Bedford,"52,484","1,605","1,620",               -,16,28,71,263,"1,128",99,15,,,,,,,
,Beeville,"14,248",452,452,               -,             -,              -,30,89,315,18,           -,,,,,,,
,Bellaire,"16,337",530,530,               -,1,22,21,91,365,30,           -,,,,,,,
,Belton,"15,255",432,435,2,             -,5,23,80,311,11,3,,,,,,,
,Benbrook,"22,730",404,404,               -,6,7,7,70,268,46,           -,,,,,,,
,Big Spring,"22,881","1,187","1,193",5,30,10,50,354,695,43,6,,,,,,,
,Borger,"14,755",871,875,               -,12,15,20,184,619,21,4,,,,,,,
,Brenham,"14,390",880,885,1,15,7,75,183,566,33,5,,,,,,,
,Brownsville,"153,653","11,420","11,429",6,29,181,696,"1,227","8,893",388,9,,,,,,,
,Brownwood,"20,505","1,539","1,545",               -,7,16,189,264,958,105,6,,,,,,,
,Bryan,"61,294","4,484","4,502",5,58,65,312,"1,003","2,810",231,18,,,,,,,
,Burkburnett,"11,182",140,141,               -,             -,              -,1,38,100,1,1,,,,,,,
,Burleson,"22,985",766,772,               -,6,8,19,139,548,46,6,,,,,,,
,Canyon,"13,091",221,223,               -,9,              -,8,21,174,9,2,,,,,,,
,Carrollton,"107,474","3,709","3,750",               -,8,68,132,781,"2,406",314,41,,,,,,,
,Cedar Hill,"30,732","1,090","1,093",1,25,10,60,252,667,75,3,,,,,,,
,Cedar Park,"28,208",541,543,               -,5,4,15,98,387,32,2,,,,,,,
,Cleburne,"27,254","1,804","1,806",2,12,12,65,340,"1,246",127,2,,,,,,,
,College Station,"63,584","2,666","2,669",2,38,19,75,309,"2,139",84,3,,,,,,,
,Colleyville,"21,583",315,315,               -,             -,7,15,46,234,13,           -,,,,,,,
,Conroe,"40,069","2,586","2,593",1,21,74,211,392,"1,712",175,7,,,,,,,
,Converse,"12,396",234,235,               -,13,2,11,42,139,27,1,,,,,,,
,Coppell,"31,854",175,176,               -,3,              -,7,35,129,1,1,,,,,,,
,Copperas Cove,"32,290","1,169","1,177",               -,2,16,128,227,748,48,8,,,,,,,
,Corinth,"10,275",175,176,               -,1,4,5,35,119,11,1,,,,,,,
,Corpus Christi,"293,146","20,009","20,179",17,193,437,"1,457","3,537","12,979","1,389",170,,,,,,,
,Corsicana,"24,067","1,474","1,475",               -,10,22,49,307,"1,006",80,1,,,,,,,
,Dallas,"1,119,580","105,050","106,430",231,633,"7,046","8,132","20,300","50,777","17,931","1,380",,,,,,,
,Deer Park,"32,045",574,577,1,4,5,15,164,365,20,3,,,,,,,
,Del Rio,"37,168","1,522","1,524",               -,             -,18,127,243,"1,055",79,2,,,,,,,
,Denison,"23,352","1,333","1,345",2,4,19,36,278,918,76,12,,,,,,,
,Denton,"82,400","3,233","3,278",2,36,72,160,567,"2,263",133,45,,,,,,,
,DeSoto,"37,595","1,579","1,582",2,12,39,137,344,924,121,3,,,,,,,
,Dickinson,"17,341",622,625,               -,15,11,23,118,415,40,3,,,,,,,
,Dumas,"14,274",382,385,               -,4,1,31,86,242,18,3,,,,,,,
,Duncanville,"37,387","1,512","1,528",1,14,48,105,247,917,180,16,,,,,,,
,Eagle Pass,"31,422","1,181","1,184",1,3,10,11,148,912,96,3,,,,,,,
,Edinburg,"47,286","4,692","4,724",2,13,50,262,679,"3,464",222,32,,,,,,,
,El Campo,"11,596",730,730,               -,11,10,37,120,509,43,           -,,,,,,,
,El Paso,"637,462","34,672","34,932",20,188,731,"3,457","2,228","25,605","2,443",260,,,,,,,
,Ennis,"17,391",865,868,               -,13,14,34,151,610,43,3,,,,,,,
,Euless,"47,761","1,517","1,529",               -,15,23,64,253,"1,029",133,12,,,,,,,
,Farmers Branch,"27,438","1,420","1,420",1,14,30,37,246,909,183,           -,,,,,,,
,Flower Mound,"51,145",704,704,               -,1,3,34,154,492,20,           -,,,,,,,
,Forest Hill,"12,558",485,485,1,9,28,68,125,206,48,           -,,,,,,,
,Fort Worth,"522,612","38,143","38,408",61,325,"1,314","2,116","7,251","22,991","4,085",265,,,,,,,
,Fredericksburg,"10,057",223,226,1,             -,2,1,39,177,3,3,,,,,,,
,Freeport,"12,423",610,610,1,11,13,50,155,355,25,           -,,,,,,,
,Friendswood,"30,603",466,470,               -,2,9,56,98,278,23,4,,,,,,,
,Frisco,"33,395",824,824,             -,5,3,34,254,502,26,           -,,,,,,,
,Gainesville,"15,734",843,847,               -,2,12,12,141,626,50,4,,,,,,,
,Galena Park,"10,740",241,244,               -,6,4,16,61,126,28,3,,,,,,,
,Garland,"201,060","8,673","8,720",4,35,204,228,"1,842","5,323","1,037",47,,,,,,,
,Gatesville,"13,534",281,281,               -,7,1,23,76,161,13,           -,,,,,,,
,Georgetown,"33,672",588,590,               -,2,3,12,66,472,33,2,,,,,,,
,Grand Prairie,"119,536","6,521","6,570",8,59,109,270,"1,019","4,004","1,052",49,,,,,,,
,Grapevine,"43,803","1,765","1,769",               -,10,20,14,258,"1,344",119,4,,,,,,,
,Greenville,"25,927","1,884","1,901",1,9,55,175,364,"1,177",103,17,,,,,,,
,Groves,"17,021",769,769,               -,             -,6,7,162,560,34,           -,,,,,,,
,Haltom City,"39,021","1,347","1,353",1,14,14,98,343,761,116,6,,,,,,,
,Harker Heights,"18,075",720,721,               -,1,9,18,135,532,25,1,,,,,,,
,Harlingen,"59,441","4,109","4,138",4,30,52,217,802,"2,802",202,29,,,,,,,
,Henderson,"11,730",869,869,1,14,4,129,75,613,33,           -,,,,,,,
,Hereford,"15,244",522,526,               -,3,5,103,100,294,17,4,,,,,,,
,Hewitt,"11,769",199,199,               -,11,2,4,38,137,7,           -,,,,,,,
,Highland Village,"13,473",130,131,               -,             -,2,1,67,52,8,1,,,,,,,
,Houston,"1,920,350","131,711","133,353",230,813,"8,256","12,192","23,254","67,102","19,864","1,642",,,,,,,
,Humble,"14,015","1,294","1,299",               -,12,26,28,125,893,210,5,,,,,,,
,Huntsville,"33,443","1,399","1,405",1,8,38,107,264,903,78,6,,,,,,,
,Hurst,"38,741","2,174","2,180",6,9,37,82,253,"1,643",144,6,,,,,,,
,Ingleside,"10,987",80,82,               -,             -,1,1,30,44,4,2,,,,,,,
,Irving,"186,754","9,025","9,073",10,51,225,498,"1,245","6,013",983,48,,,,,,,
,Jacinto City,"10,094",433,433,1,             -,15,8,71,249,89,           -,,,,,,,
,Jacksonville,"14,439",687,687,               -,11,18,61,147,427,23,           -,,,,,,,
,Katy,"11,650",453,454,               -,3,3,52,52,317,26,1,,,,,,,
,Keller,"26,134",513,513,               -,7,3,66,63,351,23,           -,,,,,,,
,Kerrville,"21,384",899,900,               -,8,7,38,107,709,30,1,,,,,,,
,Kilgore,"12,040","1,096","1,100",2,8,14,64,154,818,36,4,,,,,,,
,Killeen,"84,685","5,203","5,228",9,51,156,359,"1,037","3,379",212,25,,,,,,,
,Kingsville,"25,820","1,233","1,237",               -,7,15,93,220,874,24,4,,,,,,,
,Lake Jackson,"28,397",924,925,               -,5,8,13,100,753,45,1,,,,,,,
,La Marque,"15,285",842,842,               -,             -,21,8,225,546,42,           -,,,,,,,
,Lamesa,"10,218",375,378,               -,2,5,52,76,231,9,3,,,,,,,
,Lancaster,"25,597","1,535","1,539",               -,11,40,146,359,799,180,4,,,,,,,
,La Porte,"34,790",688,742,               -,11,13,52,174,374,64,54,,,,,,,
,Laredo,"190,540","13,384","13,461",10,65,181,716,"1,749","9,875",788,77,,,,,,,
,League City,"46,778","1,067","1,071",1,4,18,26,169,799,50,4,,,,,,,
,Leon Valley,"10,430",461,462,1,             -,8,20,53,345,34,1,,,,,,,
,Levelland,"14,111",419,421,               -,4,6,58,74,268,9,2,,,,,,,
,Lewisville,"80,472","3,316","3,325",1,28,46,93,472,"2,375",301,9,,,,,,,
,Live Oak,"10,862",420,421,               -,5,5,18,36,328,28,1,,,,,,,
,Lockhart,"12,279",381,381,               -,7,8,43,62,226,35,           -,,,,,,,
,Longview,"78,578","5,147","5,162",9,81,152,232,"1,087","3,156",430,15,,,,,,,
,Lubbock,"197,658","14,493","14,562",12,141,248,"2,107","2,648","8,734",603,69,,,,,,,
,Lufkin,"34,831","2,228","2,237",1,21,39,148,484,"1,394",141,9,,,,,,,
,Mansfield,"25,851",764,772,               -,9,9,38,194,463,51,8,,,,,,,
,Marshall,"25,319","1,281","1,283",1,9,22,72,249,858,70,2,,,,,,,
,McAllen,"114,736","8,740","8,773",2,3,116,268,"1,365","6,136",850,33,,,,,,,
,Memorial Villages,"12,277",167,167,               -,             -,3,3,40,112,9,           -,,,,,,,
,Mercedes,"16,292",783,788,               -,3,16,120,143,451,50,5,,,,,,,
,Mesquite,"120,860","6,059","6,153",2,2,109,314,594,"4,325",713,94,,,,,,,
,Midland,"102,254","3,301","3,316",5,69,54,267,683,"2,074",149,15,,,,,,,
,Mineral Wells,"15,524",938,945,1,9,5,52,179,638,54,7,,,,,,,
,Mission,"45,718","2,843","2,849",2,             -,22,31,566,"1,980",242,6,,,,,,,
,Missouri City,"69,014","1,270","1,285",1,8,29,58,322,766,86,15,,,,,,,
,Mount Pleasant,"13,680",803,812,               -,6,18,55,101,585,38,9,,,,,,,
,Nacogdoches,"32,045","1,529","1,530",1,28,31,163,230,"1,001",75,1,,,,,,,
,Nederland,"18,308",887,888,               -,4,7,13,128,708,27,1,,,,,,,
,New Braunfels,"39,824","2,696","2,696",               -,18,28,148,204,"2,193",105,           -,,,,,,,
,North Richland Hills,"58,414","2,445","2,446",1,24,29,134,319,"1,796",142,1,,,,,,,
,Odessa,"92,891","4,823","4,848",2,18,63,417,908,"3,244",171,25,,,,,,,
,Orange,"20,550","1,346","1,362",1,11,40,123,276,801,94,16,,,,,,,
,Palestine,"19,546","1,143","1,145",1,12,21,151,180,736,42,2,,,,,,,
,Pampa,"19,210",796,796,2,13,9,70,197,489,16,           -,,,,,,,
,Paris,"27,271",,,1,,33,435,506,"1,818",91,11,,,,,,,
,Pasadena,"139,046","6,342","6,431",1,29,116,397,"1,275","3,849",675,89,,,,,,,
,Pearland,"36,344","1,138","1,145",               -,15,11,38,176,819,79,7,,,,,,,
,Pecos,"10,752",310,310,1,             -,4,8,47,245,5,           -,,,,,,,
,Pflugerville,"11,818",409,410,               -,3,3,13,51,328,11,1,,,,,,,
,Pharr,"47,691","3,276","3,288",               -,27,47,192,554,"2,256",200,12,,,,,,,
,Plainview,"24,009","1,586","1,591",               -,14,13,56,242,"1,244",17,5,,,,,,,
,Plano,"242,289","7,870","7,912",5,21,115,482,"1,475","5,391",381,42,,,,,,,
,Pleasanton,"10,358",254,254,               -,5,2,19,50,170,8,           -,,,,,,,
,Port Arthur,"58,854","2,873","2,917",2,33,156,240,878,"1,220",344,44,,,,,,,
,Portland,"15,788",665,666,               -,5,4,18,84,532,22,1,,,,,,,
,Port Lavaca,"12,841",574,577,               -,22,9,39,105,354,45,3,,,,,,,
,Port Neches,"14,544",508,508,               -,3,2,16,85,365,37,           -,,,,,,,
,Raymondville,"10,097",391,395,1,             -,5,56,105,212,12,4,,,,,,,
,Richardson,"91,043","3,876","3,886",1,13,103,163,779,"2,524",293,10,,,,,,,
,Richmond,"14,906",349,356,1,             -,13,35,82,192,26,7,,,,,,,
,Rio Grande City,"15,506",498,499,               -,3,5,60,90,297,43,1,,,,,,,
,Robstown,"13,311","1,618","1,623",2,3,7,35,308,"1,210",53,5,,,,,,,
,Rockwall,"17,973",578,580,               -,3,7,20,99,410,39,2,,,,,,,
,Roma,"12,186",285,285,2,2,4,18,54,160,45,           -,,,,,,,
,Rosenberg,"32,404","1,326","1,339",               -,20,39,84,238,868,77,13,,,,,,,
,Round Rock,"69,880","1,489","1,489",               -,9,32,75,200,"1,102",71,           -,,,,,,,
,Rowlett,"41,844",996,"1,000",               -,8,4,46,189,686,63,4,,,,,,,
,Saginaw,"12,366",343,346,               -,2,4,30,58,220,29,3,,,,,,,
,San Angelo,"91,800","4,796","4,816",1,83,41,217,821,"3,505",128,20,,,,,,,
,San Antonio,"1,193,440","86,332","86,986",85,456,"1,699","5,668","11,604","60,952","5,868",654,,,,,,,
,San Benito,"25,403","1,666","1,669",               -,8,9,29,233,"1,339",48,3,,,,,,,
,San Marcos,"42,171","1,581","1,582",2,36,24,119,239,"1,086",75,1,,,,,,,
,Santa Fe,"10,632",340,343,1,8,3,4,77,229,18,3,,,,,,,
,Schertz,"18,543",468,468,               -,10,3,26,56,357,16,           -,,,,,,,
,Seagoville,"11,481",541,541,               -,10,12,21,126,295,77,           -,,,,,,,
,Seguin,"25,413","1,659","1,660",1,22,28,45,215,"1,321",27,1,,,,,,,
,Sherman,"35,479","2,178","2,185",1,12,30,155,347,"1,540",93,7,,,,,,,
,Snyder,"12,129",359,360,               -,4,1,26,66,254,8,1,,,,,,,
,Socorro,"28,639",563,568,1,2,6,29,91,373,61,5,,,,,,,
,South Houston,"16,040",897,898,               -,             -,40,37,324,329,167,1,,,,,,,
,Southlake,"18,701",318,321,               -,1,6,14,67,215,15,3,,,,,,,
,Stafford,"21,087",751,754,1,7,27,14,126,481,95,3,,,,,,,
,Stephenville,"16,246",571,572,               -,13,4,6,77,458,13,1,,,,,,,
,Sugar Land,"71,200","1,798","1,802",1,6,31,57,334,"1,300",69,4,,,,,,,
,Sulphur Springs,"15,133",445,446,               -,3,8,44,90,260,40,1,,,,,,,
,Taylor,"15,894",569,576,               -,4,11,40,97,384,33,7,,,,,,,
,Temple,"54,256","2,735","2,760",1,12,37,127,581,"1,825",152,25,,,,,,,
,Terrell,"15,767","1,140","1,144",               -,4,34,179,150,699,74,4,,,,,,,
,Texarkana,"33,586","2,548","2,572",3,25,60,228,461,"1,662",109,24,,,,,,,
,Texas City,"44,422","3,600","3,625",3,27,68,336,644,"2,287",235,25,,,,,,,
,The Colony,"26,963","1,118","1,133",               -,8,9,17,223,815,46,15,,,,,,,
,Tyler,"87,173","6,262","6,278",3,68,120,447,898,"4,373",353,16,,,,,,,
,University Park,"23,940",602,607,               -,             -,9,5,80,479,29,5,,,,,,,
,Uvalde,"17,265","1,108","1,116",               -,             -,10,82,262,713,41,8,,,,,,,
