State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Menlo Park,"31,366",789,792,               -,4,25,34,143,544,39,3,,,,,,,
,Merced,"61,878","4,090","4,128",3,25,106,284,721,"2,624",327,38,,,,,,,
,Millbrae,"22,163",365,366,               -,3,20,31,48,224,39,1,,,,,,,
,Mill Valley,"13,023",305,306,               -,             -,1,16,53,216,19,1,,,,,,,
,Milpitas,"62,751","2,047","2,052",1,19,64,164,304,"1,307",188,5,,,,,,,
,Mission Viejo,"100,198","1,433","1,439",               -,7,31,96,272,957,70,6,,,,,,,
,Modesto,"192,379","10,663","10,892",3,59,297,608,"1,760","6,706","1,230",229,,,,,,,
,Monrovia,"38,706","1,174","1,178",1,6,46,93,169,697,162,4,,,,,,,
,Montclair,"31,344","1,879","1,885",1,7,72,131,268,"1,033",367,6,,,,,,,
,Montebello,"62,326","2,204","2,242",3,14,122,194,325,"1,009",537,38,,,,,,,
,Monterey,"32,501","1,319","1,319",               -,13,31,151,238,849,37,           -,,,,,,,
,Monterey Park,"64,442","1,338","1,344",               -,4,96,81,264,587,306,6,,,,,,,
,Moorpark,"31,133",329,332,               -,3,8,42,61,184,31,3,,,,,,,
,Moraga,"17,298",177,180,1,2,3,5,26,128,12,3,,,,,,,
,Moreno Valley,"152,159","6,302","6,321",1,42,261,828,"1,708","2,637",825,19,,,,,,,
,Morgan Hill,"32,602","1,059","1,066",               -,6,16,35,151,783,68,7,,,,,,,
,Morro Bay,"10,215",223,226,               -,3,              -,48,38,121,13,3,,,,,,,
,Mountain View,"73,037","2,315","2,337",2,9,43,307,227,"1,569",158,22,,,,,,,
,Murrieta,"32,421",817,821,               -,6,22,41,191,442,115,4,,,,,,,
,Napa,"69,297","1,742","1,773",1,22,31,153,257,"1,157",121,31,,,,,,,
,National City,"56,496","2,668","2,677",4,30,155,243,466,"1,116",654,9,,,,,,,
,Newark,"44,575","1,750","1,755",3,15,33,79,257,"1,205",158,5,,,,,,,
,Newport Beach,"75,645","2,349","2,368",2,8,19,75,487,"1,624",134,19,,,,,,,
,Norco,"27,125",809,810,1,2,16,62,190,407,131,1,,,,,,,
,Norwalk,"100,480","3,090","3,115",3,25,201,422,484,"1,197",758,25,,,,,,,
