State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Burglary,Larceny-theft,Motor vehicle theft,Arson,
,Jackson,"35,350","2,814","2,840",5,22,72,265, ,397,"1,895",158,26,
,Kalamazoo,"76,602","5,516","5,575",6,79,176,478, ,"1,019","3,240",518,59,
,Kalamazoo Township,"20,933",736,739,1,7,13,44, ,112,515,44,3,
,Kentwood,"42,517","1,950","1,957",-,24,21,50, ,361,"1,401",93,7,
,Lansing,"128,431","7,635","7,707",10,112,253,813, ,"1,278","4,731",438,72,
,Leoni Township,"14,141",370,373,-,-,3,19, ,96,236,16,3,
,Lincoln Park,"42,483","2,161","2,169",-,38,45,126, ,351,"1,283",318,8,
,Lincoln Township,"14,111",321,322,-,6,4,17, ,29,248,17,1,
,Livonia,"101,838","3,098",,2,30,63,108, ,440,"2,147",308,,
,Madison Heights,"32,005","1,496","1,500",1,4,41,48, ,142,"1,023",237,4,
,Marquette,"19,238",567,568,-,16,3,14, ,61,457,16,1,
,Melvindale,"11,304",366,368,-,1,8,15, ,65,193,84,2,
,Meridian Township,"38,670","1,441","1,447",-,5,7,47, ,199,"1,132",51,6,
,Midland,"40,145",879,885,-,17,3,39, ,78,714,28,6,
,Monroe,"22,085",580,591,-,6,4,37, ,92,390,51,11,
,Mount Clemens,"17,807",934,936,2,10,36,85, ,131,543,127,2,
,Mount Morris Township,"25,459","1,859","1,868",3,23,52,140, ,691,668,282,9,
,Mount Pleasant,"23,462",656,658,-,5,5,28, ,84,522,12,2,
,Muskegon,"39,202","3,996","4,011",3,18,107,284, ,821,"2,284",479,15,
,Muskegon Heights,"12,454","1,528","1,541",1,26,56,184, ,319,656,286,13,
,Muskegon Township,"16,882",967,975,1,13,14,30, ,99,739,71,8,
,Niles,"11,953",716,720,1,15,12,41, ,106,497,44,4,
,Niles Township,"12,733",135,137,-,-,1,2, ,30,99,3,2,
,Northville Township,"22,025",436,438,1,-,-,2, ,66,334,33,2,
,Norton Shores,"23,028","1,127","1,135",-,1,10,33, ,126,854,103,8,
,Novi,"44,972","1,460","1,463",-,5,7,43, ,111,"1,226",68,3,
,Oak Park,"29,735","1,230","1,230",3,11,49,82, ,208,663,214,-,
,Owosso,"15,691",439,442,-,9,4,18, ,84,314,10,3,
,Pittsfield Township,"24,099","1,098","1,101",-,2,15,20, ,120,828,113,3,
,Plymouth Township,"28,667",628,633,-,2,4,34, ,90,434,64,5,
,Pontiac,"69,243","4,617","4,668",5,134,271,871, ,964,"1,783",589,51,
,Portage,"43,914","1,852","1,863",1,19,15,58, ,216,"1,477",66,11,
,Port Huron,"32,409","1,543","1,570",1,29,28,141, ,196,"1,029",119,27,
,Redford Township,"55,757","2,425","2,434",1,14,91,95, ,304,"1,392",528,9,
,Riverview,"14,867",331,331,-,2,2,13, ,46,219,49,-,
,Romulus,"25,446","1,393","1,414",-,10,21,89, ,243,785,245,21,
,Roseville,"51,634","1,919","1,924",2,10,26,93, ,131,"1,364",293,5,
,Royal Oak,"64,595","2,074","2,086",-,20,51,74, ,246,"1,489",194,12,
,Saginaw,"63,765","4,292","4,392",10,76,215,817, ,"1,100","1,761",313,100,
,Saginaw Township,"38,988","1,615","1,627",1,3,20,49, ,241,"1,236",65,12,
,Sault Ste. Marie,"15,458",338,339,-,-,3,2, ,56,266,11,1,
,Shelby Township,"64,341","1,091","1,096",2,3,4,47, ,152,793,90,5,
,Southfield,"75,460","5,390","5,402",5,23,80,570, ,646,"3,096",970,12,
,Southgate,"32,528","1,368","1,380",-,9,24,193, ,127,833,182,12,
,Spring Lake-Ferrysburg,"15,710",187,188,-,3,1,5, ,10,166,2,1,
,St. Clair Shores,"66,369","1,663","1,676",1,6,33,83, ,175,"1,142",223,13,
,Sterling Heights,"124,928","3,787","3,802",-,25,38,210, ,306,"2,909",299,15,
,Sturgis,"10,346",459,462,-,7,3,28, ,74,321,26,3,
,Summit Township,"22,792",476,477,1,3,5,31, ,85,308,43,1, 
,Sumpter Township,"11,985",245,245,-,2,3,17, ,80,123,20,-,
,Taylor,"72,895","3,992","4,033",1,32,72,221, ,647,"2,389",630,41,
,Thomas Township,"11,809",422,422,1,1,2,21, ,48,336,13,-,
,Traverse City,"15,183",633,637,-,7,-,27, ,97,473,29,4, 
,Trenton,"21,811",308,308,-,4,2,13, ,38,221,30,-,
,Troy,"79,679","2,433","2,436",-,13,16,70, ,263,"1,900",171,3,
,Van Buren Township,"26,080",664,665,-,1,9,21, ,88,425,120,1,
,Walker,"19,907","1,047","1,049",-,12,10,36, ,101,851,37,2,
,Wayne,"20,979","1,089","1,101",-,15,29,96, ,147,629,173,12,
,West Bloomfield Township,"61,277","1,032","1,037",-,5,3,32, ,131,828,33,5,
,Westland,"86,636","3,027","3,045",2,34,50,192, ,542,"1,754",453,18,
,White Lake Township,"27,312",743,745,1,7,2,38, ,117,530,48,2,
,Wixom,"11,033",448,448,-,3,1,10, ,66,344,24,-,
,Woodhaven,"13,801",498,501,-,3,6,8, ,46,403,32,3,
,Wyandotte,"32,035",821,828,-,1,10,20, ,121,562,107,7,
,Wyoming,"68,996","2,650","2,672",-,23,53,157, ,576,"1,565",276,22,
,Ypsilanti,"23,032","1,342","1,354",1,18,61,170, ,185,755,152,12,
MINNESOTA,Albert Lea,"17,779",556,557,-,1,2,17, ,52,462,22,1,
,Andover,"24,172",664,666,-,9,5,14, ,129,474,33,2,
,Anoka,"18,187",836,840,2,14,9,26, ,101,644,40,4,
,Apple Valley,"45,910","1,144","1,151",-,7,6,25, ,125,934,47,7,
,Arden Hills,"10,020",263,264,-,4,4,10, ,31,203,11,1,
,Austin,"21,710",869,874,1,6,5,34, ,111,648,64,5,
,Bemidji,"12,724","1,284","1,285",-,4,14,21, ,76,"1,055",114,1,
,Blaine,"45,437","2,144","2,147",-,31,19,46, ,284,"1,681",83,3,
,Bloomington,"87,100","4,802","4,821",1,46,61,113, ,388,"3,926",267,19,
,Brainerd,"13,464",897,906,-,13,4,37, ,140,652,51,9,
,Brooklyn Center,"28,146","2,348","2,364",1,12,45,32, ,247,"1,815",196,16,
,Brooklyn Park,"63,784","3,102","3,115",2,30,81,177, ,460,"2,112",240,13,
,Burnsville,"59,963","2,305","2,312",-,33,36,29, ,211,"1,853",143,7,
,Champlin,"21,340",484,485,-,7,3,11, ,60,390,13,1,
,Chanhassen,"18,378",310,313,-,-,1,3, ,45,244,17,3,
,Chaska,"15,511",449,459,-,6,2,17, ,58,354,12,10,
,Circle Pines-Lexington,"10,049",257,261,-,1,1,8, ,46,184,17,4, 
,Cloquet,"10,983",433,438,-,3,1,21, ,65,303,40,5,
,Coon Rapids,"64,349","2,636","2,649",1,29,23,37, ,311,"2,096",139,13, 
,Cottage Grove,"31,581",680,683,-,12,7,18, ,73,536,34,3,
,Crystal,"23,284",934,936,-,3,20,24, ,109,706,72,2,
,Duluth,"82,089","3,742","3,754",5,57,68,179, ,477,"2,735",221,12,
,Eagan,"60,678","1,723","1,742",-,17,19,34, ,249,"1,308",96,19,
,East Bethel,"10,411",301,304,-,7,-,8, ,80,178,28,3,
,Eden Prairie,"50,812","1,609","1,618",-,8,10,17, ,182,"1,328",64,9,
,Edina,"46,380","1,339","1,340",-,3,13,9, ,191,"1,072",51,1,
,Elk River,"16,300",458,458,1,9,2,12, ,54,359,21,-,
,Fairmont,"10,977",410,410,-,1,2,4, ,87,303,13,-,
,Faribault,"18,843",884,896,1,9,7,35, ,134,649,49,12,
,Farmington,"10,274",272,272,-,1,-,3, ,20,236,12,-,
,Fergus Falls,"13,851",502,503,3,3,1,17, ,104,350,24,1,
,Fridley,"28,271","1,765","1,769",2,18,33,56, ,161,"1,387",108,4,
,Golden Valley,"20,565",831,834,-,7,9,25, ,173,554,63,3,
,Ham Lake,"11,918",392,400,-,10,1,11, ,98,252,20,8,
,Hastings,"17,639",530,541,-,9,4,24, ,64,398,31,11,
,Hibbing,"17,567",292,293,-,5,1,11, ,64,190,21,1,
,Hopkins,"16,452",623,631,1,8,14,19, ,86,422,73,8,
,Hutchinson,"12,654",499,504,1,11,1,13, ,101,346,26,5,
,Inver Grove Heights,"29,602",871,883,-,8,5,34, ,120,637,67,12,
,Lakeville,"39,581",980,988,-,2,1,29, ,89,812,47,8,
,Lino Lakes,"14,622",251,254,-,2,-,9, ,36,198,6,3,
,Mankato,"31,106","1,910","1,912",1,9,15,30, ,256,"1,529",70,2,
,Maple Grove,"47,429","1,211","1,225",-,13,4,31, ,197,930,36,14,
,Marshall,"12,245",323,323,1,10,1,17, ,54,221,19,-,
,Mendota Heights,"11,651",92,92,-,1,-,1, ,6,78,6,-,
,Minneapolis,"355,949","30,737","31,029",47,451,"2,096","2,349", ,"5,562","16,366","3,866",292,
,Minnetonka,"51,492","1,515","1,525",-,5,18,16, ,225,"1,207",44,10, 
,Moorhead,"33,433",889,894,-,15,8,49, ,89,667,61,5,
,Mounds View,"13,010",505,508,-,3,3,24, ,51,389,35,3,
,New Brighton,"23,087",835,842,-,10,5,20, ,87,664,49,7,
,New Hope,"21,429",511,511,-,5,17,14, ,46,398,31,-,
,New Ulm,"13,634",292,294,-,-,1,6, ,37,235,13,2,
,Northfield,"16,345",499,501,-,2,-,13, ,68,395,21,2,
,North Mankato,"11,718",380,381,-,3,2,-, ,9,347,19,1,
,North St. Paul,"12,703",349,351,-,4,1,6, ,32,289,17,2,
,Oakdale,"26,946",849,851,-,15,7,25, ,88,670,44,2,
,Owatonna,"20,817",794,799,-,7,2,20, ,84,647,34,5,
,Plymouth,"62,161","1,659","1,666",-,13,18,26, ,331,"1,191",80,7,
,Prior Lake,"15,022",434,437,-,2,6,12, ,40,343,31,3,
,Ramsey,"18,419",469,471,-,5,2,10, ,50,378,24,2,
,Red Wing,"16,011",616,619,1,8,4,16, ,66,481,40,3,
,Richfield,"34,401","1,566","1,572",1,20,50,53, ,292,"1,013",137,6,
,Robbinsdale,"14,141",623,624,-,2,18,12, ,160,381,50,1,
,Rochester,"79,002","2,719","2,732",1,43,38,91, ,315,"2,038",193,13,
,Rosemount,"13,389",371,372,-,6,6,6, ,48,285,20,1,
,Roseville,"34,830","1,798","1,801",1,9,10,32, ,111,"1,539",96,3,
,Savage,"17,333",468,470,-,2,5,13, ,69,351,28,2,
,Shakopee,"16,728",660,663,-,8,4,18, ,78,503,49,3,
,Shoreview,"26,434",394,398,-,3,2,9, ,44,313,23,4,
,South Lake Minnetonka,"11,374",237,240,-,4,2,4, ,43,177,7,3,
,South St. Paul,"20,037",797,800,-,13,13,24, ,116,560,71,3,
,Stillwater,"15,968",441,449,-,2,2,14, ,63,333,27,8,
,St. Louis Park,"42,836","1,713","1,722",-,12,24,16, ,202,"1,373",86,9,
,St. Paul,"260,011","18,368","18,606",14,200,774,"1,220", ,"3,555","10,705","1,900",238,
,Vadnais Heights,"13,508",331,336,-,-,1,10, ,32,266,22,5,
,West St. Paul,"19,432","1,003","1,005",-,4,26,21, ,77,787,88,2,
,White Bear Lake,"26,275",767,774,1,2,5,18, ,154,546,41,7,
,Willmar,"19,004",713,721,1,19,5,30, ,105,500,53,8,
,Winona,"24,443",985,987,-,3,3,16, ,120,808,35,2,
,Woodbury,"40,860",965,967,-,6,3,10, ,104,821,21,2,
,Worthington,"10,083",370,372,-,10,2,15, ,45,280,18,2,
MISSISSIPPI,Biloxi,"47,600","5,234","5,251",1,31,125,179, ,652,"3,905",341,17,
,Brandon,"14,700",185,188,-,-,4,6, ,25,147,3,3,
,Brookhaven,"10,713",196,196,2,6,18,23, ,15,132,-,-,
,Cleveland,"14,923","1,382","1,387",-,7,29,50, ,245,"1,021",30,5,
,Columbus,"22,431","1,663","1,671",1,12,23,99, ,243,"1,202",83,8,
,Corinth,"12,277",777,781,1,2,19,54, ,147,519,35,4,
,Greenwood,"18,327","1,816", ,4,21,57,39, ,553,"1,092",50, ,
,Grenada,"11,228","1,083", ,3,8,23,65, ,175,743,66,,
,Gulfport,"65,151","5,387","5,412",6,47,115,83, ,"1,017","3,631",488,25,
,Hattiesburgh,"49,099","3,535","3,548",3,21,77,75,,920,"2,283",156,13,
,Horn Lake,"13,968",467,467,-,1,15,22, ,80,315,34,-,
,Indianola,"11,583","1,407","1,420",1,16,26,80, ,391,838,55,13,
,Jackson,"189,930","20,072","20,104",45,248,"1,096",691, ,"4,814","9,703","3,475",32,
,Laurel,"18,409","1,721","1,727",1,18,45,70, ,319,"1,184",84,6,
,Long Beach,"16,877",634,636,1,4,12,4, ,91,495,27,2,
,Madison,"12,694",188,188,-,1,5,2, ,17,160,3,-,
,McComb,"11,817",717,717,3,3,35,31, ,162,426,57,-,
,Meridian,"40,497","2,088","2,100",4,16,80,142, ,615,"1,097",134,12,
,Natchez,"18,387","1,533","1,548",3,8,26,33, ,256,"1,168",39,15,
,Olive Branch,"12,135",788,788,-,7,7,78, ,106,487,103,-,
,Oxford,"12,169",342,342,-,1,15,15, ,57,230,24,-,
,Pascagoula,"27,326","3,107","3,117",2,15,84,96, ,686,"1,970",254,10,
,Pearl,"23,427",958,958,-,12,12,24, ,137,707,66,-,
,Picayune,"12,130",682,690,-,8,12,29, ,98,507,28,8,
,Ridgeland,"16,644","1,088","1,088",1,-,24,13, ,88,892,70,-,
,Southaven,"23,575","1,195","1,197",2,3,18,9, ,237,829,97,2,
,Starkville,"20,305","1,127","1,134",-,3,30,33, ,144,865,52,7,
,Tupelo,"35,803","2,446","2,449",2,17,53,54, ,447,"1,744",129,3,
MISSOURI,Arnold,"21,167",608,609,-,15,7,36, ,61,477,12,1,
,Ballwin,"20,133",321,321,-,4,1,18, ,38,244,16,-,
,Bellefontaine Neighbors,"10,096",508,512,-,3,8,21, ,68,370,38,4,
,Belton,"21,897",718,725,-,10,3,30, ,91,536,48,7,
,Berkeley,"10,489",888,894,1,6,29,50, ,140,470,192,6,
,Blue Springs,"44,676","2,356",,-,14,33,476,,201,"1,515",117,,
,Bridgeton,"16,332","1,391",,-,6,28,34, ,169,988,166,,
,Cape Girardeau,"35,791","2,556","2,563",1,13,37,17, ,276,"2,110",102,7,
,Carthage,"11,422",723,723,-,2,4,10, ,97,573,37,-,
,Chesterfield,"46,285","1,121","1,126",-,1,6,38,,91,953,32,5,
,Clayton,"13,362",624,626,-,1,5,5, ,128,465,20,2,
,Columbia,"79,347","4,019","4,049",2,13,99,219, ,594,"2,923",169,30,
,Crestwood,"12,341",694,695,-,2,7,2, ,19,648,16,1,
,Creve Coeur,"11,945",401,401,-,-,5,9, ,42,315,30,-,
,Ferguson,"20,602","1,428","1,428",-,6,52,33, ,243,939,155,-,
,Florissant,"47,327","1,351","1,353",3,3,16,19, ,170,"1,046",94,2,
,Fulton,"11,392",399,400,-,8,7,24, ,56,296,8,1,
,Gladstone,"28,197","1,009","1,025",-,3,17,28, ,135,751,75,16,
,Grandview,"23,833",920,928,2,5,50,53, ,228,459,123,8,
,Hannibal,"17,825",990,997,-,7,13,120, ,148,663,39,7,
,Hazelwood,"14,470",819,823,-,8,19,43, ,137,500,112,4,
,Independence,"117,472","8,245","8,286",6,36,133,457, ,"1,044","5,827",742,41,
,Jackson,"11,320",335,337,-,-,-,15, ,52,253,15,2,
,Jefferson City,"35,102","1,612","1,621",2,17,27,80, ,273,"1,173",40,9,
,Jennings,"14,774","1,247","1,252",-,4,50,88, ,259,694,152,5,
,Joplin,"44,856","3,316","3,345",3,15,32,73, ,721,"2,242",230,29,
,Kansas City,"443,992","51,640","52,137",117,330,"2,479","4,840", ,"8,611","28,513","6,750",497,
,Kennett,"10,679",682,682,-,10,20,92, ,110,431,19,-,
,Kirksville,"17,072",597,597,-,2,2,21, ,77,473,22,-,
,Kirkwood,"26,951",444,446,-,2,5,15, ,66,332,24,2,
,Lebanon,"11,768",758,761,-,3,8,56, ,127,523,41,3,
,Lee's Summit,"66,988","1,769","1,787",-,8,24,38, ,292,"1,310",97,18,
,Liberty,"25,732",679,686,-,5,6,26, ,93,499,50,7,
,Manchester,"18,703",281,281,-,-,-,16, ,51,202,12,-,
,Marshall,"12,230",387,389,1,-,1,1, ,55,323,6,2,
,Maryland Heights,"23,599","1,119","1,122",2,4,12,22, ,108,919,52,3,
,Maryville,"10,067",250,250,-,4,-,10, ,23,211,2,-,
,Mexico,"11,312",386,386,-,-,4,6, ,70,295,11,-,
,Moberly,"12,103",743,743,-,4,5,48, ,148,526,12,-,
,O'Fallon,"35,211","1,601","1,606",-,10,12,28, ,153,"1,350",48,5,
,Poplar Bluff,"17,122","1,254","1,255",-,15,27,73, ,233,838,68,1,
,Raytown,"28,527","1,061","1,062",-,10,21,14, ,171,690,155,1,
,Rolla,"16,115",845,849,-,7,14,31, ,123,638,32,4,
,Sedalia,"20,559","1,410","1,410",-,6,10,137, ,239,945,73,-,
,Sikeston,"17,889","1,213","1,218",-,2,32,124,,247,731,77,5,
,Springfield,"143,680","11,499","11,605",4,65,124,359, ,"1,808","8,402",737,106,
,St. Ann,"13,581","1,551","1,551",-,7,25,78,,71,"1,271",99,-,
,St. Charles,"58,484","1,891","1,910",-,17,39,74, ,255,"1,407",99,19,
,St. Joseph,"70,003","4,507","4,525",-,14,26,222, ,694,"3,291",260,18,
,St. Louis,"340,836","47,711","48,389",130,144,"2,792","4,545", ,"7,856","25,599","6,645",678,
,St. Peters,"50,572","1,856","1,870",-,12,26,77, ,170,"1,500",71,14,
,Town and Country,"10,969",254,255,-,1,1,10, ,25,210,7,1,
,University City,"37,060","2,683","2,696",-,13,93,62, ,434,"1,844",237,13,
,Warrensburg,"17,524",644,644,-,1,10,24, ,110,473,26,-,
,Webster Groves,"21,449",304,307,1,1,6,12, ,58,206,20,3,
,West Plains,"11,196",589,592,-,3,7,30, ,88,438,23,3,
MONTANA,Billings,"92,269","4,735","4,750",1,33,50,113,,504,"3,639",395,15,
,Great Falls,"56,544","3,812","3,833",3,26,30,67, ,327,"3,200",159,21,
,Havre,"10,041",745,746,1,6,3,14, ,54,630,37,1,
,Missoula,"52,377","4,052","4,058",3,38,45,172,,354,"3,300",140,6,
NEBRASKA,Beatrice,"12,401",689,689,-,1,2,5, ,69,576,36,-,
,Bellevue,"44,135","1,479","1,498",1,4,10,11, ,167,"1,179",107,19,
,Columbus,"20,940",643,647,-,2,7,8, ,48,545,33,4,
,Fremont,"24,478",885,891,-,7,9,28, ,104,700,37,6,
,Grand Island,"41,474","2,735","2,738",-,23,7,100, ,450,"2,048",107,3,
,Hastings,"21,399",943,946,1,2,9,11, ,140,757,23,3,
,Kearney,"28,024","1,343","1,352",1,6,6,68, ,227,986,49,9,
,La Vista,"11,888",395,396,1,-,3,10, ,28,342,11,1,
,Lincoln,"213,512","13,399","13,441",9,82,162,965, ,"1,886","9,782",513,42,
,Norfolk,"23,523",969,975,1,13,8,6, ,97,808,36,6,
,Omaha,"372,364","26,245","26,477",34,174,960,"3,445", ,"3,516","14,530","3,586",232,
,Papillion,"20,644",360,363,-,2,2,4, ,27,304,21,3,
,Scottsbluff,"14,322",935,936,1,7,8,23, ,89,776,31,1,
,South Sioux City,"11,438",388,390,-,2,4,8, ,38,321,15,2,
NEVADA,Boulder City,"14,672",287,292,1,-,4,9, ,84,164,25,5,
,Elko,"19,889",834,839,2,10,8,23, ,149,605,37,5,
,Henderson,"158,168","5,509","5,538",-,113,181,213, ,"1,279","2,945",778,29,
,Las Vegas Metropolitan Police Department,,,,,, , , , , , ,,
,  Jurisdiction,"922,450","47,828","48,139",109,532,"3,121","2,371", ,"10,130","21,793","9,772",311,
,Mesquite,"10,486",242,242,-,5,6,63, ,26,107,35,-,
,North Las Vegas,"97,581","6,048","6,135",15,42,358,783, ,"1,124","2,700","1,026",87,
,Reno,"169,164","9,416","9,440",14,88,358,397, ,"1,557","6,266",736,24,
,Sparks,"64,660","3,302",,2,35,60,149, ,549,"2,317",190,,
NEW HAMPSHIRE,Bedford,"16,487",309,319,-,1,1,12, ,55,219,21,10,
,Berlin,"10,257",174,180,-,4,2,3, ,28,133,4,6,
,Derry,"32,304",803,,-,17,7,11, ,169,517,82,,
,Hampton,"13,258",474,478,-,10,4,12, ,60,364,24,4,
,Hanover,"10,010",273,,-,-,-,1, ,18,254,-,,
,Hudson,"22,213",471,474,-,10,7,22, ,76,325,31,3,
,Keene,"22,616",622,642,-,7,9,23, ,122,447,14,20,
,Laconia,"16,658",544,554,-,6,1,14, ,65,437,21,10,
,Lebanon,"12,630",574,575,-,7,4,7, ,33,508,15,1,
,Londonderry,"22,746",342,,-,-,3,4, ,48,244,43,,
,Manchester,"103,782","4,085","4,142",2,35,122,65, ,760,"2,667",434,57,
,Rochester,"28,247",967,987,-,20,11,21, ,79,808,28,20,
,Somersworth,"11,681",529,540,1,1,-,5, ,62,432,28,11,
NEW JERSEY,Aberdeen Township,"17,824",378,382,-,-,7,14, ,51,283,23,4,
,Asbury Park,"17,117","1,183","1,184",3,16,139,144, ,259,509,113,1,
,Atlantic City,"38,196","8,526","8,599",5,26,312,276, ,867,"6,818",222,73,
,Barnegat Township,"14,581",206,207,1,1,5,21, ,26,144,8,1,
,Bayonne,"61,265","1,409","1,414",2,4,74,117, ,250,786,176,5,
,Beachwood,"10,165",258,261,-,-,3,11, ,47,192,5,3,
,Belleville,"32,622","1,049","1,057",-,7,38,68, ,190,536,210,8,
,Bellmawr,"12,286",255,257,-,-,6,13, ,41,174,21,2,
,Bergenfield,"24,914",353,354,1,2,17,15, ,45,249,24,1,
,Berkeley Heights,"13,222",66,66,-,1,-,2, ,6,53,4,-,
,Berkeley Township,"42,658",663,665,-,4,8,22, ,170,430,29,2,
,Bernards Township,"22,169",216,219,-,-,2,-, ,38,168,8,3,
,Bloomfield,"43,124","1,549","1,554",-,3,71,50, ,246,768,411,5,
,Branchburg Township,"15,037",185,188,-,2,-,5, ,26,146,6,3,
,Brick Township,"75,829","1,594","1,602",-,5,22,63, ,284,"1,172",48,8,
,Bridgeton,"18,159","1,305","1,311",1,8,88,214, ,283,642,69,6,
,Bridgewater Township,"41,558",703,703,1,-,10,18, ,71,555,48,-,
,Brigantine,"11,640",354,355,-,2,4,38, ,63,235,12,1,
,Burlington Township,"16,729",656,659,1,4,18,24, ,67,498,44,3,
,Camden,"83,838","7,269","7,512",23,59,746,983, ,"1,496","2,614","1,348",243,
,Carteret,"19,161",565,565,1,4,37,22, ,136,315,50,-,
,Cedar Grove Township,"11,830",264,266,-,1,4,29, ,39,175,16,2,
,Cherry Hill Township,"69,359","2,821","2,823",1,9,45,62, ,292,"2,159",253,2,
,Cinnaminson Township,"14,855",400,409,-,5,15,10, ,104,238,28,9,
,Clark Township,"14,738",238,239,-,-,2,3, ,9,205,19,1,
,Cliffside Park,"21,215",370,371,1,1,10,27, ,56,229,46,1,
,Clifton,"76,447","2,506","2,509",1,8,86,76, ,426,"1,504",405,3,
,Clinton Township,"12,905",121,121,-,3,1,6, ,23,80,8,-,
,Collingswood,"14,633",472,477,1,6,25,34, ,59,305,42,5,
,Cranford Township,"22,984",442,444,-,2,5,14, ,67,326,28,2,
,Delran Township,"14,282",525,525,-,4,7,17, ,82,370,45,-,
,Denville Township,"15,617",198,208,-,3,1,9, ,16,157,12,10,
,Deptford Township,"25,146","1,571","1,578",-,-,20,36, ,211,"1,181",123,7,
,Dover,"15,516",533,533,-,3,8,29, ,105,299,89,-,
,Dover Township,"87,003","2,654","2,668",1,12,47,114, ,472,"1,894",114,14,
,Dumont,"17,693",221,221,-,1,2,12, ,35,167,4,-,
,East Brunswick Township,"46,662","1,062","1,064",-,5,6,31, ,116,863,41,2,
,East Hanover Township,"12,073",297,297,-,-,2,12, ,25,239,19,-,
,East Orange,"69,842","5,052","5,143",12,52,606,518, ,770,"1,947","1,147",91,
,East Windsor Township,"22,456",462,464,1,1,13,21, ,47,339,40,2,
,Eatontown,"14,126",590,590,1,4,12,18, ,52,474,29,-,
,Edison Township,"96,040","2,637","2,652",-,9,62,155, ,304,"1,719",388,15,
,Egg Harbor Township,"27,772","1,381","1,394",1,9,26,62, ,206,997,80,13,
,Elizabeth,"111,048","7,079","7,102",9,19,618,281, ,"1,026","3,143","1,983",23,
,Elmwood Park,"18,363",539,541,-,1,26,13, ,74,362,63,2,
,Englewood,"25,410",609,617,1,1,22,43, ,129,344,69,8,
,Evesham Township,"40,031",716,721,-,1,10,20, ,127,507,51,5,
,Ewing Township,"33,861","1,102","1,103",1,7,36,62, ,176,673,147,1,
,Fair Lawn,"31,200",508,511,1,4,12,18, ,90,340,43,3,
,Fairview,"11,291",162,163,-,-,7,16, ,26,62,51,1,
,Florence Township,"10,948",283,286,-,-,6,7, ,38,200,32,3,
,Fort Lee,"34,108",777,783,-,4,15,33, ,114,554,57,6,
,Franklin Lakes,"10,612",128,130,-,-,1,2, ,28,95,2,2,
,Franklin Township (Gloucester County),"15,434",433,439,-,-,4,26, ,111,267,25,6,
,Franklin Township (Somerset County) ,"49,360","1,332","1,349",2,7,44,102, ,232,812,133,17,
,Freehold,"10,888",353,354,-,4,33,19, ,63,214,20,1,
,Freehold Township,"30,193",839,841,-,3,6,12, ,45,721,52,2,
,Galloway Township,"28,323",695,696,1,1,17,26, ,167,453,30,1,
,Garfield,"27,357",740,740,-,1,24,19, ,135,431,130,-,
,Glassboro,"17,650",857,859,1,9,35,48, ,146,586,32,2,
,Glen Rock,"11,188",137,137,-,-,-,2, ,26,104,5,-,
,Gloucester City,"12,163",326,326,-,9,9,9, ,51,224,24,-,
,Gloucester Township,"59,045","1,942","1,958",1,23,84,110, ,363,"1,200",161,16,
,Hackensack,"37,945","1,561","1,564",1,11,52,104, ,162,"1,093",138,3,
,Haddonfield,"11,209",183,185,-,1,5,4, ,18,150,5,2,
,Haddon Township,"14,558",343,345,-,-,14,12, ,56,242,19,2, 
,Hamilton Township (Atlantic County),"18,307","1,115","1,133",-,4,36,82, ,183,781,29,18,
,Hamilton Township (Mercer County),"86,324","2,063","2,070",-,3,90,54, ,434,"1,223",259,7,
,Hammonton,"12,491",250,251,-,2,5,19, ,53,156,15,1,
,Hanover Township,"13,373",173,173,-,-,3,5, ,44,110,11,-,
,Harrison,"13,430",574,574,-,-,26,31, ,96,256,165,-,
,Hasbrouck Heights,"11,745",301,301,-,1,4,5, ,54,217,20,-,
,Hawthorne,"18,368",365,365,-,2,6,1, ,40,284,32,-,
,Hazlet Township,"22,687",334,338,-,-,5,17, ,31,258,23,4,
,Highland Park,"13,312",274,274,-,3,6,4, ,46,203,12,-,
,Hillsborough Township,"34,097",418,424,1,2,6,7, ,101,277,24,6,
,Hillsdale,"10,177",75,75,-,-,1,1, ,5,66,2,-,
,Hillside Township,"21,187","1,108","1,109",-,12,73,26, ,179,473,345,1,
,Hoboken,"33,471","1,346","1,348",-,3,48,86, ,215,673,321,2,
,Holmdel Township,"14,840",169,169,-,-,1,6, ,14,142,6,-,
,Hopatcong,"16,298",166,167,-,1,2,4, ,33,121,5,1,
,Hopewell Township,"14,361",158,158,-,-,2,14, ,11,125,6,-,
,Howell Township,"47,298",719,726,-,3,6,37, ,126,504,43,7,
,Irvington,"57,954","5,791","5,831",15,40,782,735, ,"1,380","1,451","1,388",40,
,Jackson Township,"41,026",654,661,1,1,10,28, ,142,447,25,7,
,Jefferson Township,"19,351",233,235,-,1,5,6, ,48,164,9,2,
,Jersey City,"233,242","13,400","13,506",15,79,"1,531","1,655", ,"2,552","5,206","2,362",106,
,Keansburg,"11,205",374,375,-,4,3,47, ,42,264,14,1,
,Kearny,"35,565","1,511","1,517",-,7,52,63, ,225,904,260,6,
,Lacey Township,"25,008",489,491,-,1,5,15, ,79,373,16,2,
,Lakewood,"50,367","2,297","2,313",-,21,107,127, ,463,"1,462",117,16,
,Lawrence Township,"27,639","1,324","1,326",-,5,35,16, ,167,897,204,2,
